Cluster,acer campestre,acer ginnala,acer palmatum,acer platanoides,acer pseudoplatanus,acer rubrum,acer saccharinum,acer saccharum,aesculus hippocastanum,ailanthus altissima,amelanchier,carpinus betulus,catalpa,celtis occidentalis,cercidiphyllum japonicum,cercis canadensis,cornus florida,crataegus,fraxinus,fraxinus americana,fraxinus pennsylvanica,ginkgo biloba,gleditsia triacanthos,gymnocladus dioicus,ilex,juniperus virginiana,koelreuteria paniculata,liquidambar styraciflua,liriodendron tulipifera,magnolia,malus,metasequoia glyptostroboides,morus,picea,picea abies,picea pungens,pinus,pinus nigra,pinus strobus,platanus acerifolia,prunus,prunus cerasifera,prunus virginiana,pyrus calleryana,quercus acutissima,quercus alba,quercus bicolor,quercus palustris,quercus phellos,quercus robur,quercus rubra,robinia pseudoacacia,styphnolobium japonicum,syringa reticulata,taxodium distichum,tilia americana,tilia cordata,tilia tomentosa,tsuga canadensis,ulmus americana,ulmus parvifolia,zelkova serrata
Cluster1,75,32,39,1555,74,238,99,143,34,52,,36,,61,23,25,55,,,,377,434,1188,25,,,21,84,47,31,56,,74,20,,,,21,36,571,139,88,27,664,,117,,1516,99,,401,177,210,,34,218,597,122,,151,74,391
Cluster2,,,,876,30,140,85,25,,,,,,23,,,,,,,123,200,212,,,,,23,,,,,,,,,,,,2429,100,51,31,669,,,,500,,,93,22,93,,,63,253,72,,37,25,204
Cluster3,,24,126,2457,366,339,872,219,,20,,,,47,,,75,,,,256,91,411,,,,,231,57,,32,33,,,,,,,74,1306,275,139,44,665,,91,,938,52,21,646,111,,,66,123,259,86,,43,22,167
Cluster4,,,30,1171,,131,51,27,36,45,,,,26,,,42,,20,,348,621,1058,,,,,146,,,36,,,,,,,,,1691,128,52,47,1051,,,49,1138,61,,233,141,340,,30,151,899,208,,129,53,358
Cluster5,28,,38,2169,103,182,277,42,,20,,,,,,,26,,,,222,219,367,,,,,63,,,20,,,,,,,,,1898,171,70,57,476,,,,390,,,92,23,120,,,155,484,107,,29,,302
Cluster6,54,67,73,2797,93,537,294,174,,75,,53,33,73,25,,72,54,,,571,424,1349,,,,,197,,41,38,,67,21,,,,,38,2015,115,133,58,815,,48,,1390,49,,409,214,146,,59,228,652,133,,155,85,489
Cluster7,,,54,1168,23,102,201,70,,31,,,,,,,28,,,,226,104,594,,,,,,,,,,,22,,,,,,2070,72,54,33,471,,,,305,,,97,29,38,,,143,466,101,,73,,293
Cluster8,,35,38,2391,115,187,412,55,60,,,,,,,,29,,75,,630,266,713,,,,,24,,,25,,,,,,,,,1301,157,60,34,513,,,,915,32,,95,43,62,,24,161,534,141,,87,,149
Cluster9,,,32,1090,56,115,97,20,,37,,,,,,,,,,,275,127,339,,,,,67,,,,,,,,,,,,1899,61,38,,132,,,,534,,,72,30,40,,63,80,242,48,,39,,166
Cluster10,,,,346,,49,35,,,,,,,,,,,,,,214,118,650,,,,,,,,45,,,,,,,,,1620,27,29,,427,,,,352,,,84,36,23,,,21,290,73,,118,20,184
