Cluster,gleditsia triacanthos,platanus acerifolia,quercus palustris,ginkgo biloba,quercus acutissima,pyrus calleryana,koelreuteria paniculata,styphnolobium japonicum,zelkova serrata,tilia cordata,crataegus,quercus robur,quercus bicolor,liquidambar styraciflua,fraxinus pennsylvanica,quercus phellos,syringa reticulata,prunus,acer platanoides,liriodendron tulipifera,acer campestre,ulmus americana,acer saccharinum,acer rubrum,cercis canadensis,acer ginnala,quercus rubra,tilia tomentosa,gymnocladus dioicus,tilia americana,malus,metasequoia glyptostroboides,ilex,prunus virginiana,prunus cerasifera,celtis occidentalis,juniperus virginiana,fraxinus,magnolia,catalpa,quercus alba,morus,ulmus parvifolia,acer pseudoplatanus,taxodium distichum,aesculus hippocastanum,fraxinus americana,acer saccharum,acer palmatum,robinia pseudoacacia,carpinus betulus,ailanthus altissima,cornus florida,pinus strobus,tsuga canadensis,amelanchier,cercidiphyllum japonicum,picea pungens,pinus,picea,pinus nigra,picea abies
Cluster1,0.339225589,0.345008757,0.413588391,0.470046083,,0.30873494,0.047619048,0.20952381,0.250639386,0.127303183,,,,0.130952381,0.129973475,0.151515152,,0.100719424,0.138263666,0.021276596,0,0.099337748,0.131313131,0.138655462,0,0.0625,0.072319202,0.008196721,0,0.133027523,0.017857143,,,0.037037037,0.045454545,0.032786885,,,0,,0,0,0.040540541,0.040540541,0.088235294,0,,0.034965035,0.025641026,0.056497175,0,0,0,0.027777778,,,0,,,0,0,
Cluster2,0.056603774,0.07204611,0.09,0.105,,0.064275037,,0.23655914,0.024509804,0.059288538,,,,0.043478261,0.008130081,,,0.13,0.025114155,,,0,0,0,,,0,0.055555556,,0.063492063,,,,0,0,0,,,,,,,0,0.033333333,,,,0,,0,,,,,,,,,,,,
Cluster3,0.158150852,0.147779479,0.135394456,0.054945055,,0.085714286,,,0.05988024,0.046332046,,0.095238095,,0.095238095,0.00390625,0,,0.08,0.066748067,0.052631579,,0.023255814,0.064220183,0.029498525,,0,0.001547988,0.151162791,,0,0.03125,0.060606061,,0.022727273,0.021582734,0,,,,,0.021978022,,0,0.005464481,0,,,0,0.047619048,0,,0,0,0,,,,,,,,
Cluster4,0.403591682,0.4512123,0.420035149,0.354267311,,0.269267364,,0.208823529,0.203910615,0.231368187,,,0.142857143,0.424657534,0.25,0.278688525,,0.1015625,0.183603757,,,0.07751938,0.117647059,0.061068702,,,0.13304721,0.100961538,,0.092715232,0,,,0.021276596,0,0.076923077,,0,,,,,0,,0,0,,0,0,0.028368794,,0.022222222,0,,,,,,,,,
Cluster5,0.171662125,0.31032666,0.217948718,0.242009132,,0.098739496,,0.141666667,0.135761589,0.194214876,,,,0.206349206,0.148648649,,,0.081871345,0.136007377,,0.071428571,0,0.090252708,0.087912088,,,0.043478261,0.074766355,,0.032258065,0,,,0.035087719,0.014285714,,,,,,,,,0.038834951,,,,0.047619048,0,0,,0,0,,,,,,,,,
Cluster6,0.395107487,0.462034739,0.470503597,0.316037736,,0.337423313,,0.198630137,0.280163599,0.176380368,0,,,0.223350254,0.224168126,0.204081633,,0.07826087,0.185555953,,0.055555556,0.04516129,0.146258503,0.134078212,,0.104477612,0.097799511,0.203007519,,0.135964912,0.052631579,,,0.224137931,0.045112782,0.082191781,,,0,0.090909091,0.0625,0.014925373,0.176470588,0.010752688,0,,,0.005747126,0.02739726,0.009345794,0.056603774,0,0,0,,,0,,,0,,
Cluster7,0.434343434,0.397584541,0.403278689,0.298076923,,0.263269639,,0.210526316,0.225255973,0.150214592,,,,,0.234513274,,,0.055555556,0.128424658,,,0.246575342,0.144278607,0.088235294,,,0.041237113,0.03960396,,0.027972028,,,,0,0.111111111,,,,,,,,,0.043478261,,,,0.028571429,0,0,,0,0,,,,,,,0,,
Cluster8,0.057503506,0.07763259,0.081967213,0.015037594,,0.035087719,,0.032258065,0.060402685,0.058052434,,,,0,0.092063492,0,,0.012738854,0.050606441,,,0.011494253,0.053398058,0.032085561,,0,0,0.035460993,,0.031055901,0,,,0.029411765,0.05,,,0,,,,,,0.026086957,0,0.016666667,,0.018181818,0,0,,,0,,,,,,,,,
Cluster9,0.079646018,0.215903107,0.297752809,0.078740157,,0.098484848,,0.125,0.114457831,0.045454545,,,,0.28358209,0.065454545,,,0.049180328,0.079816514,,,0.025641026,0.030927835,0.069565217,,,0.069444444,0.125,,0.075,,,,,0,,,,,,,,,0,0,,,0,0,0,,0,,,,,,,,,,
Cluster10,0.22,0.133950617,0.173295455,0.144067797,,0.086651054,,0,0.201086957,0.110344828,,,,,0.079439252,,,0,0.054913295,,,0.440677966,0,0,,,0.107142857,0.02739726,,0,0,,,,0.068965517,,,,,,,,0,,,,,,,0,,,,,,,,,,,,
