Latin,Common
acer,Maple
acer buergerianum,Trident Maple
acer campestre,Hedge Maple
acer ginnala,Amur Maple
acer griseum,Paperbark Maple
acer negundo,Boxelder
acer nigrum,Black Maple
acer palmatum,Japanese Maple
acer platanoides,Norway Maple
acer platanoides,Crimson King Maple
acer pseudoplatanus,Sycamore Maple
acer rubrum,Red Maple
acer saccharinum,Silver Maple
acer saccharum,Sugar Maple
acer tataricum,Tartar Maple
acer truncatum,Shantung Maple
aesculus carnea,Red Horse Chestnut
aesculus glabra,Ohio Buckeye
aesculus hippocastanum,Horse Chestnut
ailanthus altissima,Tree of Heaven
albizia julibrissin,Mimosa
alnus glutinosa,European Alder
amelanchier,Serviceberry
betula nigra,River Birch
betula papyrifera,Paper Birch
betula pendula,Silver Birch
carpinus betulus,European Hornbeam
carpinus caroliniana,American Hornbeam
carpinus japonica,Japanese Hornbeam
carya glabra,Pignut Hickory
castanea mollissima,Chinese Chestnut
catalpa,Catalpa
cedrus atlantica,Atlas Cedar
cedrus deodara,Himalayan Cedar
celtis occidentalis,Common Hackberry
cercidiphyllum japonicum,Katsura Tree
cercis canadensis,Eastern Redbud
cercis reniformis,Oklahoma Redbud
chamaecyparis pisifera,False Cypress
chamaecyparis thyoides,Atlantic White Cedar
chionanthus retusus,Chinese Fringetree
cladrastis kentukea,Kentucky Yellowwood
cornus alternifolia,Pagoda Dogwood
cornus florida,Flowering Dogwood
cornus kousa,Kousa Dogwood
cornus mas,Cornelian Cherry
corylus colurna,Turkish Hazelnut
cotinus coggygria,Smoketree
crataegus,Hawthorn
crataegus crusgalli,Cockspur Hawthorn
eucommia ulmoides,Hardy Rubber Tree
fagus grandifolia,American Beech
fagus sylvatica,European Beech
fraxinus,Ash
fraxinus americana,White Ash
fraxinus pennsylvanica,Green Ash
ginkgo biloba,Ginkgo
gleditsia triacanthos,Honeylocust var. inermis
gymnocladus dioicus,Kentucky Coffeetree
halesia diptera,Two-Winged Silverbell
ilex,Holly
juglans nigra,Black Walnut
juniperus virginiana,Eastern Redcedar
koelreuteria paniculata,Golden Raintree
lagerstroemia,Crepe Myrtle
larix laricina,American Larch
liquidambar styraciflua,Sweetgum
liriodendron tulipifera,Tulip Poplar
maackia amurensis,Maackia
maclura pomifera,Osage Orange
magnolia,Magnolia
magnolia acuminata,Cucumber Magnolia
magnolia grandiflora,Southern Magnolia
malus,Crabapple
metasequoia glyptostroboides,Dawn Redwood
morus,Mulberry
nyssa sylvatica,Black Gum
ostrya virginiana,American Hophornbeam
parrotia persica,Persian Ironwood
paulownia tomentosa,Empress Tree
phellodendron amurense,Amur Cork Tree
picea,Spruce
picea abies,Norway Spruce
picea pungens,Blue Spruce
pinus,Pine
pinus nigra,Black Pine
pinus resinosa,Red Pine
pinus rigida,Pitch Pine
pinus strobus,White Pine
pinus sylvestris,Scots Pine
pinus virginiana,Virginia Pine
platanus acerifolia,London Planetree
populus deltoides,Eastern Cottonwood
populus grandidentata,Big-Tooth Aspen
populus tremuloides,Quaking Aspen
prunus,Cherry
prunus cerasifera,Purple Leaf Plum
prunus serotina,Black Cherry
prunus virginiana,Schubert Cherry
pseudotsuga menziesii,Douglas-Fir
pyrus calleryana,Callery Pear
quercus acutissima,Sawtooth Oak
quercus alba,White Oak
quercus bicolor,Swamp White Oak
quercus coccinea,Scarlet Oak
quercus falcata,Southern Red Oak
quercus imbricaria,Shingle Oak
quercus macrocarpa,Bur Oak
quercus palustris,Pin Oak
quercus phellos,Willow Oak
quercus robur,English Oak
quercus rubra,Northern Red Oak
quercus shumardii,Schumard Oak
quercus velutina,Black Oak
robinia pseudoacacia,Black Locust
salix babylonica,Weeping Willow
sassafras albidum,Sassafras
styphnolobium japonicum,Sophora
styrax japonicus,Japanese Snowbell
syringa pekinensis,Chinese Treelilac
syringa reticulata,Japanese Treelilac
taxodium ascendens,Pond Cypress
taxodium distichum,Bald Cypress
thuja occidentalis,Arborvitae
tilia americana,American Linden
tilia cordata,Little-Leaf Linden
tilia tomentosa,Silver Linden
tsuga canadensis,Eastern Hemlock
ulmus americana,American Elm
ulmus parvifolia,Chinese Elm
ulmus pumila,Siberian Elm
zelkova serrata,Japanese Zelkova
